user_name,user_role,target_name,target_industry,target_table,connection_type,source,timestamp
王大明,長榮會員,林佳慧,室內設計,2,想認識,browse,2026-04-22 09:12:34
王大明,長榮會員,陳俊宏,法律顧問,5,可提供資源,speaker,2026-04-22 09:15:02
李淑芬,長榮會員,王大明,保險規劃,1,想認識,browse,2026-04-22 09:18:47
李淑芬,長榮會員,張雅婷,人力資源,7,想認識,browse,2026-04-22 09:21:10
陳俊宏,長榮會員,林佳慧,室內設計,2,可提供資源,browse,2026-04-22 09:25:33
陳俊宏,長榮會員,黃建志,網路行銷,4,想認識,speaker,2026-04-22 09:32:08
張雅婷,長榮會員,王大明,保險規劃,1,可提供資源,browse,2026-04-22 09:35:51
張雅婷,長榮會員,陳俊宏,法律顧問,5,想認識,browse,2026-04-22 09:41:22
林佳慧,長榮會員,黃建志,網路行銷,4,想認識,speaker,2026-04-22 09:44:05
林佳慧,長榮會員,李淑芬,財務管理,3,可提供資源,browse,2026-04-22 09:50:17
黃建志,長榮會員,王大明,保險規劃,1,想認識,browse,2026-04-22 09:53:42
黃建志,長榮會員,張雅婷,人力資源,7,可提供資源,browse,2026-04-22 10:01:29
吳怡君,來賓,陳俊宏,法律顧問,5,想認識,browse,2026-04-22 10:05:44
吳怡君,來賓,林佳慧,室內設計,2,想認識,speaker,2026-04-22 10:08:33
劉志偉,來賓,黃建志,網路行銷,4,想認識,speaker,2026-04-22 10:12:55
劉志偉,來賓,李淑芬,財務管理,3,可提供資源,browse,2026-04-22 10:18:07
蔡明珠,親友,王大明,保險規劃,1,想認識,browse,2026-04-22 10:22:39
蔡明珠,親友,陳俊宏,法律顧問,5,想認識,speaker,2026-04-22 10:31:14
許家豪,長榮會員,吳怡君,品牌設計,8,想認識,browse,2026-04-22 10:35:58
許家豪,長榮會員,蔡明珠,電商經營,6,可提供資源,browse,2026-04-22 10:42:21
